,id,sex,race,age,marital_status,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid,is_violent_recid,c_custody_in_days,charge0,charge1,charge2,charge3,charge4,charge_count,r_custody_in_days,r_charge0,r_charge1,r_charge2,r_charge3,r_charge4,r_charge_count,h_prison,h_jail,rec_supervision_level,raw_v,score_v_txt,dec_v,raw_r,score_r_txt,dec_r,raw_a,score_a_txt,dec_a,c_(0),c_C03,c_CT,c_F1,c_F2,c_F3,c_F5,c_F6,c_F7,c_M1,c_M2,c_M3,c_M03,c_NI0,c_TC4,c_TCX,c_X,c_XXXXXXXXXX,r_(0),r_C03,r_CT,r_F1,r_F2,r_F3,r_F5,r_F6,r_F7,r_M1,r_M2,r_M3,r_M03,r_NI0,r_TC4,r_TCX,r_X,r_XXXXXXXXXX
0,1,1,5,69,4,0,0,0,0,0,0,1.0,27,65,486,381,292,2,0.0,354,349,255,184,120,0,0.0,1.0,1,-4.31,1,1,-2.78,1,1,13,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,2,31,4,0,0,0,0,-1,0,0.0,653,627,486,381,292,0,0.0,354,349,255,184,120,0,0.0,4.0,1,-2.75,1,2,-0.34,2,5,16,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,0,34,4,0,0,0,0,1,1,10.0,261,627,486,381,292,1,0.0,296,126,100,184,120,3,53.0,10.0,1,-3.07,1,1,-0.76,1,3,25,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,0,24,4,0,0,1,4,1,0,1.0,463,483,327,381,292,3,0.0,101,340,95,64,120,4,0.0,1.0,1,-2.26,1,3,-0.66,1,4,26,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,0,23,4,0,1,0,1,0,0,0.0,461,65,486,381,292,2,0.0,354,349,255,184,120,0,0.0,0.0,3,-1.59,2,6,0.16,0,8,19,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1,5,43,1,0,0,0,2,0,0,0.0,102,28,486,381,292,2,0.0,354,349,255,184,120,0,0.0,0.0,1,-3.23,1,1,-2.2,1,1,12,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1,5,44,2,0,0,0,0,0,0,1.0,79,627,486,381,292,1,0.0,354,349,255,184,120,0,0.0,1.0,1,-3.3,1,1,-1.93,1,1,19,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,1,2,41,4,0,0,0,14,1,0,6.0,440,339,486,381,292,2,18.0,44,231,44,184,120,3,384.0,18.0,2,-2.89,1,2,-0.16,2,6,30,0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,1,5,43,1,0,0,0,3,0,0,1.0,639,282,486,381,292,2,0.0,354,349,255,184,120,0,0.0,4.0,1,-2.44,1,3,-0.72,1,4,20,1,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0,2,39,4,0,0,0,0,0,0,3.0,79,627,486,381,292,1,0.0,354,349,255,184,120,0,0.0,3.0,1,-3.37,1,1,-1.73,1,1,13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
