id,sex,race,age,marital_status,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid,is_violent_recid,c_custody_in_days,c_charges,c_charge_degrees,r_custody_in_days,r_charges,r_charge_degrees,h_prison,h_jail,rec_supervision_level,raw_v,score_v_txt,dec_v,raw_r,score_r_txt,dec_r,raw_a,score_a_txt,dec_a
1,Male,Other,69,Single,0,0,0,0,0,0,1.0,"Aggravated Assault w/Firearm,Battery","(F3),(M1)",,,,,1.0,1,-4.31,Low,1,-2.78,Low,1,13,Low,1
1,Male,Caucasian,31,Single,0,0,0,0,-1,0,,,,,,,,4.0,1,-2.75,Low,2,-0.34,Medium,5,16,Low,2
1,Male,African-American,34,Single,0,0,0,0,1,1,10.0,Felony Battery w/Prior Convict,(F3),,"Sexual Battery / Vict 12 Yrs +,Felony Battery (Dom Strang),False Imprisonment","(F2),(F3),(F3)",53.0,10.0,1,-3.07,Low,1,-0.76,Low,3,25,Medium,6
1,Male,African-American,24,Single,0,0,1,4,1,0,1.0,"Possession of Cocaine,Resist/Obstruct W/O Violence,Possess Drug Paraphernalia","(F3),(M1),(M1)",0.0,"Driving Under The Influence,Viol Drivers Lic Restriction,Fail To Use Due Care,Fail Wear Safety Belt/Operator","(M1),(0),(0),(0)",,1.0,1,-2.26,Low,3,-0.66,Low,4,26,Medium,7
1,Male,African-American,23,Single,0,1,0,1,0,0,,"Possession of Cannabis,Battery","(F3),(M1)",,,,,,3,-1.59,Medium,6,0.16,High,8,19,Low,3
1,Male,Other,43,Married,0,0,0,2,0,0,,"Burglary Dwelling Armed,Aggravated Assault W/Firearm","(F7),(F3)",,,,,,1,-3.23,Low,1,-2.2,Low,1,12,Low,1
1,Male,Other,44,Separated,0,0,0,0,0,0,1.0,Battery,(M1),,,,,1.0,1,-3.3,Low,1,-1.93,Low,1,19,Low,3
1,Male,Caucasian,41,Single,0,0,0,14,1,0,6.0,"Possession Burglary Tools,Loitering/prowling","(F3),(M2)",18.0,"Burglary Damage Property>$1000,Poss of Firearm by Convic Felo,Criminal Mischief","(F1),(F2),(F3)",384.0,18.0,2,-2.89,Low,2,-0.16,Medium,6,30,High,8
1,Male,Other,43,Married,0,0,0,3,0,0,1.0,"Uttering a Forged Instrument,Grand Theft in the 3rd Degree","(F3),(F3)",,,,,4.0,1,-2.44,Low,3,-0.72,Low,4,20,Low,3
1,Female,Caucasian,39,Single,0,0,0,0,0,0,3.0,Battery,(M1),,,,,3.0,1,-3.37,Low,1,-1.73,Low,1,13,Low,1
1,Male,Caucasian,20,Single,0,0,1,0,0,0,33.0,"Possession Of Alprazolam,Possess Cannabis/20 Grams Or Less,No Safety Belts/Passg Under 18,Loud Defective Muffler","(F3),(M1),(0),(0)",,,,1974.0,33.0,4,-0.83,High,9,0.82,High,10,17,Low,2
1,Female,Caucasian,26,Married,0,0,0,0,0,0,1.0,"Possession Of Alprazolam,Possession of Ethylone","(F3),(F3)",,,,,72.0,1,-2.42,Low,3,-0.72,Medium,5,11,Low,1
1,Male,Caucasian,21,Single,0,0,0,1,1,1,1.0,"Insurance Fraud,Lve/Scen/Acc/Veh/Prop/Damage,Fail To Stop Steady Red Signal","(F2),(M2),(0)",1.0,Battery,(M1),,1.0,1,-1.84,Medium,5,-0.79,Low,3,21,Low,4
1,Male,Caucasian,27,Single,0,0,0,0,0,0,1.0,"Poss 3,4 MDMA (Ecstasy),Possess Drug Paraphernalia,Expired Tag More Than 6 Months","(F3),(M1),(0)",,,,,1.0,1,-2.12,Low,4,-0.69,Low,4,15,Low,1
1,Male,African-American,23,Single,0,0,0,3,1,0,4.0,Battery,(M1),,Driving License Suspended,(M2),,4.0,2,-2.06,Low,4,-0.3,Medium,6,23,Medium,5
1,Female,Caucasian,37,Married,0,0,0,0,0,0,1.0,Battery,(M1),,,,,1.0,1,-3.14,Low,1,-1.67,Low,1,13,Low,1
1,Male,Caucasian,22,Single,0,0,0,0,0,0,0.0,Battery,(M1),,,,,0.0,1,-1.92,Medium,5,-0.98,Low,3,11,Low,1
1,Male,African-American,41,Single,0,0,0,0,0,0,1.0,"Poss Cocaine/Intent To Del/Sel,Poss3,4 Methylenedioxymethcath,Att Tamper w/Physical Evidence,Resist/Obstruct W/O Violence","(F2),(F3),(F3),(M1)",,,,,1.0,1,-2.85,Low,2,-0.73,Low,4,17,Low,2
1,Female,Caucasian,47,Single,0,0,0,1,1,0,14.0,Grand Theft in the 3rd Degree,(F3),169.0,Grand Theft (Motor Vehicle),(F3),,14.0,1,-3.61,Low,1,-1.82,Low,1,22,Medium,5
1,Male,African-American,31,Single,0,0,0,7,1,0,3.0,"Felony Driving While Lic Suspd,Assault On Law Enforc Officer,Oper Veh Unsafe/Improp Equip","(F3),(M1),(0)",3.0,Criminal Mischief>$200<$1000,(M1),,3.0,1,-2.82,Low,2,-0.96,Low,3,19,Low,3
1,Male,Hispanic,37,Unknown,0,0,0,0,0,0,0.0,Battery,(M1),,,,,0.0,1,-3.43,Low,1,-2,Low,1,12,Low,1
1,Male,African-American,25,Single,0,0,0,3,0,0,1.0,"Grand Theft in the 3rd Degree,Petit Theft","(F3),(M2)",,,,,1.0,4,-0.84,High,9,0.89,High,10,18,Low,3
1,Male,Caucasian,31,Single,0,0,0,6,1,1,1.0,"Driving While License Revoked,Careless Driving,Pers/Inj/Prot/Ins Require","(F3),(0),(0)",,"Kidnapping (Facilitate Felony),Grand Theft in the 3rd Degree,Battery","(F1),(F3),(M1)",,1.0,1,-2.22,Low,4,-0.4,Medium,5,18,Low,3
1,Male,Caucasian,31,Single,0,0,0,5,1,0,1.0,"Possession Of Heroin,Driving Wrong Lane Or Side,Possess Drug Paraphernalia","(F3),(0),(M1)",34.0,"Possession Of Heroin,Possession of Cocaine","(F3),(F3)",,1.0,1,-2.7,Low,2,-0.87,Low,3,12,Low,1
1,Male,African-American,64,Separated,0,0,0,13,1,0,1.0,"Poss Cocaine/Intent To Del/Sel,Poss Cocaine/Intent To Del/Sel","(F2),(F2)",1.0,Poss Cocaine/Intent To Del/Sel,(F2),,71.0,2,-2.3,Low,3,-0.15,Medium,6,27,Medium,7
1,Male,African-American,21,Single,0,0,0,1,1,0,3.0,"Battery on Law Enforc Officer,Trespass After Warning","(F3),(M1)",1.0,Prowling/Loitering,(M2),,0.0,4,-0.63,High,9,0.5,High,9,25,Medium,6
1,Male,Caucasian,27,Single,0,0,0,0,1,0,0.0,Possession Of Methamphetamine,(M1),,"Operating W/O Valid License,Speed Posted Municip/State Rd-Driver","(M2),(0)",,0.0,1,-2.55,Low,3,-1.14,Low,2,15,Low,1
1,Female,Caucasian,21,Single,0,0,0,0,0,0,1.0,"Driving Under The Influence,Careless Driving,Introduce Contraband Into Jail","(M1),(0),(F3)",,,,,1.0,1,-1.88,Medium,5,-0.92,Low,4,11,Low,1
1,Male,African-American,24,Single,0,0,0,2,1,0,1.0,Poss Pyrrolidinovalerophenone,(F3),,"Resist/Obstruct W/O Violence,Petit Theft","(M1),(M2)",1504.0,2.0,2,-1.56,Medium,6,-1,N/A,-1,21,Low,4
1,Male,Hispanic,24,Single,0,0,0,1,1,0,1.0,"Lewd/Lasc Battery Pers 12+/<16,Lewd/Lasc Battery Pers 12+/<16,Lewd/Lasc Battery Pers 12+/<16,Lewd/Lasc Battery Pers 12+/<16","(F3),(F3),(F3),(F3)",,Possess Cannabis/20 Grams Or Less,(M1),,1.0,1,-1.8,Medium,5,-0.71,Low,4,12,Low,1
1,Male,Caucasian,42,Single,0,0,0,1,0,0,105.0,Trafficking In Methamphetamine,(F1),,,,2954.0,105.0,1,-3.18,Low,1,-0.8,Low,3,19,Low,3
1,Male,Caucasian,43,Separated,0,0,0,1,0,0,1.0,"Expired Tag More Than 6 Months,Susp Drivers Lic 1st Offense,Unlawful Tag Alteration,Pers/Inj/Prot/Ins Require","(0),(M2),(0),(0)",,,,,1.0,1,-2.92,Low,2,-1.68,Low,1,17,Low,2
